user,followers_count,friends_count,retweet_count,favorite_count,text
darrensmyth,47,1679,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
Mukum55274491,23,330,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
LikithMohamad,1,40,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
tomservo10,6234,6857,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
CDullahan,304,1052,20,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
TIME,18170377,505,20,93,"Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/Du4Qi344jG"
joyful_maka,164,240,0,0,The only way people will get back to work is because they have taken the vaccine. We do have to move on ... but her… https://t.co/k7MzwobkVR
rnoyfb,217,1047,0,1,"@goofrider Also, all the people from Hong Kong I know here were quick to sign up for the vaccine. It’s not like they don’t understand"
MsAlliance,6621,5296,0,0,Being able to to travel is clearly not especially important to vaccine-resistant HKers: -&gt; https://t.co/YhzI7Yx8U3
Knowne83,0,25,13,0,"RT @TIME: Hong Kong is testing out a vaccine passport for bars. Will it boost lackluster vaccination rates?
https://t.co/I4cClxTcGd"
EnglishSlinger,194,1665,30,0,RT @BillyBostickson: Hong Kong researchers find early COVID-19 mutant strain with characteristics of attenuated vaccine https://t.co/8l3QA3…
poyrazo34,232,1034,4,0,"RT @next_china: Millions of people in Hong Kong are refusing to get vaccinated, fueled by a near breakdown of communication between the gov…"
NeilJamesWeekes,5786,5248,4,0,"RT @next_china: Millions of people in Hong Kong are refusing to get vaccinated, fueled by a near breakdown of communication between the gov…"
